,aisuite_Claude-3.5-Sonnet,together_Llama-3.3-70B-It,together_Mistral-Small-3-24B-It,together_Gemma-2-9B-It
0,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
1,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
2,"{""scaled_score"": 0.99, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 4, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
3,"{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.24, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
4,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.49, ""logical_equivalence"": 3, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 1, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.76, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 1, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.04, ""logical_equivalence"": 0, ""signal_behavior"": 0, ""edge_case_handling"": 0, ""code_modularity"": 0, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}"
5,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.53, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 1, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}"
6,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}"
7,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.53, ""logical_equivalence"": 3, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 3}"
8,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.56, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
9,"{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.53, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
10,"{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
11,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 4, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 4, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
12,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.23, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
